id,created_at,partner_id,city_id,year,number_diapers,number_children,percentage,month,changed
12798,2026-04-12 16:09:23.738529+00,3,13,2025,3940,,0.7,September,false
12799,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,September,false
12800,2026-04-12 16:09:23.738529+00,3,26,2025,56,,0.01,September,false
12801,2026-04-12 16:09:23.738529+00,3,18,2025,56,,0.01,September,false
12802,2026-04-12 16:09:23.738529+00,3,14,2025,31,,0.01,October,false
12803,2026-04-12 16:09:23.738529+00,3,24,2025,31,,0.01,October,false
12804,2026-04-12 16:09:23.738529+00,3,4,2025,31,,0.01,October,false
12805,2026-04-12 16:09:23.738529+00,3,11,2025,772,,0.25,October,false
12806,2026-04-12 16:09:23.738529+00,3,13,2025,2162,,0.7,October,false
12807,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,October,false
12808,2026-04-12 16:09:23.738529+00,3,26,2025,31,,0.01,October,false
12809,2026-04-12 16:09:23.738529+00,3,18,2025,31,,0.01,October,false
12810,2026-04-12 16:09:23.738529+00,3,14,2025,57,,0.01,November,false
12811,2026-04-12 16:09:23.738529+00,3,24,2025,57,,0.01,November,false
12812,2026-04-12 16:09:23.738529+00,3,4,2025,57,,0.01,November,false
12813,2026-04-12 16:09:23.738529+00,3,11,2025,1413,,0.25,November,false
12814,2026-04-12 16:09:23.738529+00,3,13,2025,3956,,0.7,November,false
12815,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,November,false
12816,2026-04-12 16:09:23.738529+00,3,26,2025,57,,0.01,November,false
12817,2026-04-12 16:09:23.738529+00,3,18,2025,57,,0.01,November,false
12818,2026-04-12 16:09:23.738529+00,3,14,2025,46,,0.01,December,false
12819,2026-04-12 16:09:23.738529+00,3,24,2025,46,,0.01,December,false
12820,2026-04-12 16:09:23.738529+00,3,4,2025,46,,0.01,December,false
12821,2026-04-12 16:09:23.738529+00,3,11,2025,1144,,0.25,December,false
12822,2026-04-12 16:09:23.738529+00,3,13,2025,3204,,0.7,December,false
12823,2026-04-12 16:09:23.738529+00,3,25,2025,0,,0,December,false
12824,2026-04-12 16:09:23.738529+00,3,26,2025,46,,0.01,December,false
12825,2026-04-12 16:09:23.738529+00,3,18,2025,46,,0.01,December,false
12826,2026-04-12 16:09:23.738529+00,2,13,2025,4300,,1,February,false
12827,2026-04-12 16:09:23.738529+00,2,13,2025,6000,,1,April,false
12828,2026-04-12 16:09:23.738529+00,2,13,2025,5284,,1,June,false
12829,2026-04-12 16:09:23.738529+00,2,13,2025,6245,,1,September,false
12830,2026-04-12 16:09:23.738529+00,2,13,2025,7809,,1,November,false
12831,2026-04-12 16:09:23.738529+00,9,13,2025,200,,1,January,false
12832,2026-04-12 16:09:23.738529+00,9,13,2025,575,,1,February,false
12833,2026-04-12 16:09:23.738529+00,9,13,2025,800,,1,April,false
12834,2026-04-12 16:09:23.738529+00,9,13,2025,799,,1,June,false
