year,month,partner_id,Partner Name,Total Num Diapers,City,city_id,percentage,number_diapers
2025,August,3,Family ACCESS,5765,Wellesley,26,0.01,58
2025,August,3,Family ACCESS,5765,Woburn,18,0.01,58
2025,September,3,Family ACCESS,5629,Arlington,14,0.01,56
2025,September,3,Family ACCESS,5629,Burlington,24,0.01,56
2025,September,3,Family ACCESS,5629,Lexington,4,0.01,56
2025,September,3,Family ACCESS,5629,Newton,11,0.25,1407
2025,September,3,Family ACCESS,5629,Waltham,13,0.7,3940
2025,September,3,Family ACCESS,5629,Wayland,25,0,0
2025,September,3,Family ACCESS,5629,Wellesley,26,0.01,56
2025,September,3,Family ACCESS,5629,Woburn,18,0.01,56
2025,October,3,Family ACCESS,3088,Arlington,14,0.01,31
2025,October,3,Family ACCESS,3088,Burlington,24,0.01,31
2025,October,3,Family ACCESS,3088,Lexington,4,0.01,31
2025,October,3,Family ACCESS,3088,Newton,11,0.25,772
2025,October,3,Family ACCESS,3088,Waltham,13,0.7,2162
2025,October,3,Family ACCESS,3088,Wayland,25,0,0
2025,October,3,Family ACCESS,3088,Wellesley,26,0.01,31
2025,October,3,Family ACCESS,3088,Woburn,18,0.01,31
2025,November,3,Family ACCESS,5651,Arlington,14,0.01,57
2025,November,3,Family ACCESS,5651,Burlington,24,0.01,57
2025,November,3,Family ACCESS,5651,Lexington,4,0.01,57
2025,November,3,Family ACCESS,5651,Newton,11,0.25,1413
2025,November,3,Family ACCESS,5651,Waltham,13,0.7,3956
2025,November,3,Family ACCESS,5651,Wayland,25,0,0
2025,November,3,Family ACCESS,5651,Wellesley,26,0.01,57
2025,November,3,Family ACCESS,5651,Woburn,18,0.01,57
2025,December,3,Family ACCESS,4884,Arlington,14,0.01,49
2025,December,3,Family ACCESS,4884,Burlington,24,0.01,49
2025,December,3,Family ACCESS,4884,Lexington,4,0.01,49
2025,December,3,Family ACCESS,4884,Newton,11,0.25,1221
2025,December,3,Family ACCESS,4884,Waltham,13,0.7,3419
2025,December,3,Family ACCESS,4884,Wayland,25,0,0
2025,December,3,Family ACCESS,4884,Wellesley,26,0.01,49
2025,December,3,Family ACCESS,4884,Woburn,18,0.01,49
2025,February,2,Diaper Depot,4300,Waltham,13,1,4300
2025,April,2,Diaper Depot,6000,Waltham,13,1,6000
2025,June,2,Diaper Depot,5284,Waltham,13,1,5284
2025,September,2,Diaper Depot,6245,Waltham,13,1,6245
2025,November,2,Diaper Depot,7809,Waltham,13,1,7809
2025,January,9,REACH Beyond Domestic Violence,200,Waltham,13,1,200
2025,February,9,REACH Beyond Domestic Violence,575,Waltham,13,1,575
2025,April,9,REACH Beyond Domestic Violence,800,Waltham,13,1,800
2025,June,9,REACH Beyond Domestic Violence,799,Waltham,13,1,799
2025,August,9,REACH Beyond Domestic Violence,1464,Waltham,13,1,1464
2025,September,9,REACH Beyond Domestic Violence,1595,Waltham,13,1,1595
2025,October,9,REACH Beyond Domestic Violence,1073,Waltham,13,1,1073
2025,November,9,REACH Beyond Domestic Violence,764,Waltham,13,1,764
2025,December,9,REACH Beyond Domestic Violence,1930,Waltham,13,1,1930
2025,January,4,Lexington Food Pantry,3206,Lexington,4,0.99,3174
2025,January,4,Lexington Food Pantry,3206,Woburn,18,0.01,32
2025,February,4,Lexington Food Pantry,3632,Lexington,4,0.99,3596
2025,February,4,Lexington Food Pantry,3632,Woburn,18,0.01,36
